CMDLINE /home/ufabc/anaconda3/bin/python3.6 trie.py
MEM 197.687500 1573782284.1275
MEM 197.941406 1573782284.2278
MEM 198.187500 1573782284.3281
MEM 198.437500 1573782284.4284
MEM 198.687500 1573782284.5287
MEM 198.937500 1573782284.6290
MEM 198.937500 1573782284.7293
MEM 199.437500 1573782284.8297
MEM 199.687500 1573782284.9301
MEM 199.937500 1573782285.0304
MEM 200.187500 1573782285.1307
MEM 200.437500 1573782285.2310
MEM 200.687500 1573782285.3313
MEM 200.937500 1573782285.4316
MEM 201.187500 1573782285.5319
MEM 201.437500 1573782285.6323
MEM 201.437500 1573782285.7326
MEM 201.687500 1573782285.8329
MEM 201.941406 1573782285.9332
MEM 202.199219 1573782286.0335
MEM 202.457031 1573782286.1338
MEM 202.714844 1573782286.2341
MEM 202.972656 1573782286.3344
MEM 203.187500 1573782286.4347
MEM 203.437500 1573782286.5350
MEM 203.437500 1573782286.6353
MEM 203.687500 1573782286.7356
MEM 203.937500 1573782286.8359
MEM 204.191406 1573782286.9362
MEM 204.449219 1573782287.0365
MEM 204.707031 1573782287.1368
MEM 204.937500 1573782287.2371
MEM 205.191406 1573782287.3374
MEM 205.449219 1573782287.4378
MEM 205.707031 1573782287.5381
MEM 205.937500 1573782287.6384
MEM 206.191406 1573782287.7387
MEM 206.437500 1573782287.8390
MEM 206.437500 1573782287.9392
MEM 206.437500 1573782288.0395
MEM 206.437500 1573782288.1398
MEM 206.437500 1573782288.2401
MEM 206.437500 1573782288.3404
MEM 206.437500 1573782288.4407
MEM 206.687500 1573782288.5410
MEM 206.937500 1573782288.6413
MEM 207.187500 1573782288.7416
MEM 207.187500 1573782288.8419
MEM 207.441406 1573782288.9422
MEM 207.687500 1573782289.0425
MEM 207.937500 1573782289.1428
MEM 208.187500 1573782289.2430
MEM 208.437500 1573782289.3432
MEM 208.687500 1573782289.4435
MEM 208.941406 1573782289.5438
MEM 209.187500 1573782289.6440
MEM 209.437500 1573782289.7443
MEM 209.437500 1573782289.8446
MEM 209.687500 1573782289.9450
